min_itm_in,min_itm_out,min_fin_in,min_fin_out,min_fin_acc,max_var_s0,max_var_s1,left_data_size,right_data_size,candstore_length,no_of_queries,no_of_redescriptions,queries_support_min,queries_support_max,queries_support_mean,queries_support_median,queries_accuracy_min,queries_accuracy_max,queries_accuracy_mean,queries_accuracy_median,mining_duration,filtering_duration
850,850,850,980,0.5,4,4,194,49,2371,1682,1682,850,1045,888.1843044,879,0.5,0.673106646,0.537848498,0.530517808,62.63597703,0.289739132
850,850,850,850,0.1,4,4,194,49,2371,2371,2371,850,1045,884.1674399,875,0.402444758,0.673106646,0.518047027,0.519510775,62.80456805,0.281936884
850,850,850,850,0.2,4,4,194,49,2371,2371,2371,850,1045,884.1674399,875,0.402444758,0.673106646,0.518047027,0.519510775,63.15447688,0.292515993
850,850,850,850,0.3,4,4,194,49,2371,2371,2371,850,1045,884.1674399,875,0.402444758,0.673106646,0.518047027,0.519510775,63.25448704,0.319179058
850,850,850,850,0.4,4,4,194,49,2371,2371,2371,850,1045,884.1674399,875,0.402444758,0.673106646,0.518047027,0.519510775,62.9337399,0.285252094
850,850,850,850,0.5,4,4,194,49,2371,1682,1682,850,1045,888.1843044,879,0.5,0.673106646,0.537848498,0.530517808,62.87047577,0.290231943
850,850,850,850,0.6,4,4,194,49,2371,74,74,850,1045,891.6216216,871.5,0.600593472,0.673106646,0.638662493,0.650280984,62.88937712,0.286585093
850,850,850,850,0.7,4,4,194,49,2371,0,0,0,0,0,0,0,0,0,0,62.1241622,0.282949209
850,850,850,850,0.8,4,4,194,49,2371,0,0,0,0,0,0,0,0,0,0,62.43405414,0.289978743
850,850,850,850,0.5,2,4,194,49,2350,1661,1661,850,1045,888.5189645,879,0.5,0.673106646,0.53721438,0.530275229,54.11663103,0.292773724
850,850,850,850,0.5,3,4,194,49,2371,1682,1682,850,1045,888.1843044,879,0.5,0.673106646,0.537848498,0.530517808,60.82555294,0.287706852
850,850,850,850,0.5,4,4,194,49,2371,1682,1682,850,1045,888.1843044,879,0.5,0.673106646,0.537848498,0.530517808,62.87273908,0.293533802
850,850,850,850,0.5,5,4,194,49,2371,1682,1682,850,1045,888.1843044,879,0.5,0.673106646,0.537848498,0.530517808,63.95787501,0.29403019
850,850,850,850,0.5,4,2,194,49,1239,791,791,850,1045,897.9380531,886,0.5,0.673106646,0.546179981,0.539257456,55.3810811,0.124704123
850,850,850,850,0.5,4,3,194,49,1916,1291,1291,850,1045,891.9093726,882,0.5,0.673106646,0.541346612,0.533742331,60.40691805,0.204190254
850,850,850,850,0.5,4,4,194,49,2371,1682,1682,850,1045,888.1843044,879,0.5,0.673106646,0.537848498,0.530517808,62.94145799,0.299721003
850,850,850,850,0.5,4,5,194,49,2605,1899,1899,850,1045,886.1569247,877,0.5,0.673106646,0.535527058,0.528580209,63.99073505,0.351284027
